CountryName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Maldives,26727.3418,27562.66406,26881.67773,27554.03516,28308.18164,28551.0332,30239.11133,32320.55078,33071.60156,34035.82422
Mali,5453.158203,5410.416992,5228.758789,5213.132813,5370.040039,5621.50293,5892.629883,5989.799805,6199.74707,6394.768066
Malta,71375.46094,70190.85156,70510.34375,71666.40625,75200.98438,80845.10156,83419.57813,88052.61719,92795.4375,96758.98438
Mauritania,13562.23047,13812.88867,14180.91504,14551.7627,14877.73145,14657.21973,14410.09961,14428.95313,14732.85938,15087.91895
Mauritius,37985.67578,39605.875,40513.16406,40786.39844,41868.72266,42712.10547,44196.20313,45632.57813,47244.46484,48821.19922
Mexico,38532.91016,39001.54297,39030.82422,38902.96875,39567.25,39791.64453,40063.03906,40066.01953,40163.28906,40453.45703
Moldova,10577.64355,11031.71777,11224.26563,11993.08496,12445.56055,11591.97754,12565.93262,13288.25391,13897.79785,14641.14844
Mongolia,19134.71484,21327.13086,23650.35547,25943.25391,27611.42188,27913.02344,29221.77148,30011.95508,30671.42773,32232.52344
Montenegro,43392.46094,44979.26172,43463.37109,44133.27344,43554.37891,44238.52734,45474.47656,46456.26563,47507.80469,49213.30078
Morocco,20191.33008,20836.23438,21400.4082,22238.17969,22969.04883,23991.16016,24314.1875,25327.67578,25768.30664,26442.02734
Mozambique,2132.340088,2232.543945,2329.871094,2440.281982,2562.865967,2678.449951,2693.157959,2700.511963,2743.520996,2814.591064
Myanmar,7954.492188,8316.567383,8845.966797,9507.040039,10167.07422,10762.88477,11558.44141,12463.91406,13251.36328,14095.12012
Namibia,30615.05664,30248.16992,29704.29102,29925.55469,30865.01172,33043.28516,33791.60938,32444.82617,32395.91992,32659.54102
Nepal,3863.272949,3894.719971,3974.045898,4024.673096,4152.217773,4188.619141,4106.39209,4311.687012,4393.36377,4468.059082
Netherlands,88934.42188,91205.28906,89955.78906,90883.47656,92620.17188,93615.82031,94872.15625,96389.25781,97615.70313,99029.66406
New Caledonia,105919.3984,107766.1016,108138.1641,108901.9063,109990.4688,111081.375,112099.5469,113767.2969,115952.7422,117965.4844
New Zealand,64048.16797,64701.86719,66003.5,65756.42969,66051.32031,67951.30469,68312.21094,68627.34375,69978.00781,71124.15625
Nicaragua,10098.94531,10287.58301,10535.31641,10779.64648,10931.91895,11196.05566,11460.41113,11763.58496,12108.60547,12476.33008
Niger,2065.149902,2036.108032,2197.639893,2229.208008,2308.708984,2317.958008,2344.717041,2367.294922,2415.156006,2464.540039
Nigeria,17398.06055,17765.5293,18039.65039,18507.97852,19300.45313,19438.72656,18781.83594,18364.66211,18314.73633,18391.84766
North Macedonia,36577.78906,36988.9375,36710.03906,36196.61328,36830.02734,37384.08984,37605.82813,36765.51953,37710.5,38987.24219
Norway,121256.7813,121231.7266,122328.1875,122640.2734,123855.2031,125406.2656,126757.8125,128745.6172,130245.9219,131966.5781
Oman,103147.5391,92016.66406,90436.79688,85008.78906,79135.72656,75866.47656,75067.19531,70523.39063,69364.80469,68115.84375
Pakistan,13103.17773,13158.39355,13307.80566,13628.55371,13790.4209,14095.3252,14532.03223,14993.80469,15429.96094,15906.04492
Panama,36062.87891,39511.39063,41262.51563,42563.88672,44281.375,45779.75781,46944.01172,48018.62109,49791.93359,51613.63281
Papua New Guinea,10938.36621,10828.63379,11068.29785,11214.0791,12730.89648,13147.60547,13049.49316,12990.94531,13106.98828,13287.59863
Paraguay,16453.89258,16772.55078,15421.32227,17518.72852,18543.96875,18621.59375,18949.19336,18590.70508,18802.875,19130.68555
Peru,18466.70313,19394.51953,20182.99805,21174.01367,21467.96094,22122.89648,22932.12109,22662.01367,22867.97852,23319.38281
Philippines,14119.33008,14156.32715,14871.94824,15648.06641,16112.33887,16735.15234,17567.5293,19116.88281,19917.51953,20670.54492
Poland,50445.82813,52806.08984,53559.625,54313.57422,54890.91406,56279.71094,56893.82813,58502.0625,60538.28125,62942.02344
Portugal,58358.35938,59235.75,59234.58984,60016.74219,59567.69141,59972.08594,60205.76953,59882.91406,60305.35938,61394.45313
Puerto Rico,114047.0156,114435.3594,114140.8359,114790.8125,114177.7813,111759.0547,108401.2891,103859.8203,99961.40625,102222.0859
Qatar,166884.2031,174189.7969,169056.7031,164912.0469,161632.8594,158960.0313,157674.5313,156433.25,158013.2969,160123.3125
Romania,40367.90625,42216.08984,42425.45313,44370.55859,45535.75391,47864.04688,50563.69141,52507.85547,55053.94922,56805.71484
Russian Federation,46807.54688,48744.29688,50108.36328,51323.66797,51726.17969,50663.28125,50668.70313,51812.69531,53011.71484,54190.30078
Rwanda,2794.493896,2942.944092,3113.333984,3171.99707,3322.854004,3513.957031,3615.818115,3726.093018,3862.583984,4011.006104
Samoa,28431.75977,30190.32617,31023.62891,29977.12695,30044.41992,30304.17383,32430.64648,32919.93359,33347.13672,33837.32031
Sao Tome and Principe,9336.46875,9460.819336,9472.853516,9702,10059.03027,10127.7998,10260.16504,10314.35059,10604.47656,10893.27344
Saudi Arabia,134113.7656,138656.7656,136474.4844,132619.1875,131616.5781,130505.3203,128546.0625,123785.5625,123506.2266,124031.6484
Senegal,8809.313477,8777.730469,8884.348633,8933.561523,9032.016602,9346.570313,9651.87207,9967.272461,10308.63281,10681.45898
Serbia,30143.51953,32117.5,32035.91016,31652.64063,29855.49219,29920.58594,28829.82031,28500.73047,29481.35547,30569.68164
Sierra Leone,3637.534912,3817.115967,4354.199219,5206.279785,5374.575195,4133.123047,4267.915039,4310.809082,4456.226074,4623.770996
Singapore,136129.3438,140551.1875,141645.5469,146066.8281,146982.8906,145929.375,147755.7969,150324.9531,152417.9063,153852
Slovak Republic,58896.99219,59980.28906,60689.91016,61589.98047,62374.93359,63156.92969,63422.3125,64574.28516,65990.67188,67853.4375
Slovenia,60825.95313,62981.75781,62005.60156,62360.66016,63554.8125,64836.05078,66971.48438,67169.375,70005.4375,73310.38281
Solomon Islands,4444.644043,4953.262207,5068.691895,5090.440918,5073.992188,5072.991211,5112.23584,5139.222168,5169.158203,5213.320801
Somalia,7211.147949,7408.793945,7251.574219,7110.203125,6875.306152,6896.772949,6955.899902,6854.617188,6843.654785,6851.567871
South Africa,43334.64453,44051.54688,44010.59766,43766.44922,43833.17578,42830.91016,43167.34766,42853.67969,42893.75781,43368.6875
South Sudan,9101.594727,9303.818359,4248.230957,5310.474121,5251.405762,5088.323242,4232.911133,3884.711914,3639.812988,3359.712891
Spain,79769.4375,80465.46094,81811.71875,82645.28906,82844.35938,83538,83980.48438,84529.83594,85510.09375,87113.22656
Sri Lanka,21988.43359,23605.49609,25949.6543,26023.85156,27582.67773,29136.93359,30361.58984,31240.10352,32673.4043,34133.96484
St. Lucia,28745.7793,28937.22266,28569.5918,30245.19141,30113.33594,30610.36914,29650.29883,29893.02344,30032.42969,30421.08398
St. Vincent and the Grenadines,24633.0918,24345.03125,24493.49023,24770.20313,24881.13867,25393.80078,25495.83398,25654.4043,26223.96289,26837.5918
Sudan,18542.62305,17671.96289,17343.05273,17619.92578,17561.86328,17880.80859,18154.68359,18326.99805,18123.5332,18172.37305
Suriname,41337.5,43135.36328,43837.73828,43695.32031,43360.44531,41874.05078,39439.92969,39201.78516,39626.99219,40569.56641
Sweden,89010.5625,89535.90625,88769.13281,88870.5625,90521.22656,93596.80469,95488.15625,96448.57813,98264.89063,100078.3906
Switzerland,103103.5625,102215.25,101810.6953,102560.8906,103277.1172,103019.8828,103063.375,103485.3984,105459.7422,106681.3672
Syrian Arab Republic,16784.20313,15995.39355,12908.85742,10214.43066,10679.05762,10532.84277,10230.1084,9664.397461,9628.816406,9490.334961
Tajikistan,8578.56543,8965.208984,9395.09375,9841.121094,10222.00684,10550.01367,10992.25977,11501.77344,11936.18848,12418.76563
Tanzania,4429.753906,4688.820801,4807.490234,5028.37207,5219.60498,5405.535156,5595,5786.599121,5979.065918,6182.018066
Thailand,23424.7168,22969.87305,24587.13867,25790.55273,26231.31445,27089.41211,28200.7832,29224.7207,30114.53516,31007.45703
Timor-Leste,40611.37891,44991.34375,46471.64453,40498.23828,29315.99023,34766.23047,34189.01563,30668.55273,30598.46289,30476.19141
Togo,2726.124023,2805.146973,2859.831055,2887.662109,2971.299072,3040.935059,3115.749023,3198.969971,3289.056885,3377.375
Tonga,13437.85547,13759.0791,13813.21387,13291.32617,13490.3623,13906.49902,14183.52246,14346.52148,14594.9873,14745.875
Trinidad and Tobago,65783.90625,65717.6875,65621.01563,65167.74609,64262.16406,65680.61719,62590.66016,61258.06641,63560.82031,65724.54688
Tunisia,33553.40234,34400.84766,34575.94531,34817.48438,35246.95703,35438.40234,35760.91016,36187.82031,36730.71875,37379.80469
Turkey,57653.84766,60226.55469,61542.25391,64677.81641,66877.82813,68643.9375,68896.03906,71388.77344,73146.61719,75072.32813
Turkmenistan,22970.13086,25727.11133,28012.94727,30342.81445,32874.16016,34381.35156,36037.32031,37755.37891,39540.375,41446.14844
Uganda,4379.018066,4604.766113,4596.314941,4507.680176,4560.73291,4617.629883,4652.705078,4655.63623,4743.833008,4855.693848
Ukraine,18056.76367,19046.73047,19262.18555,19093.68359,18816.01563,17000.91211,17630.89648,18294.4043,19095.33984,19965.75781
United Arab Emirates,81310.34375,82800.97656,84228.03125,87315.78125,90195.76563,93487.53906,95563.14844,96140.09375,97711.24219,100218.2891
United Kingdom,76670.55469,77545.76563,77725.36719,78315.70313,78932.96875,79627.32813,80163.83594,80848,81333.57031,82216.82813
United States,107882.7422,108666.6875,109142.1172,109752.6641,110642.1563,112080.3281,111941.3047,112677.3125,114989.9922,117226.8438
Uruguay,36256.39844,37329.17578,38752.5,40613.44922,41403.28906,42000.31641,42806.37109,44024.90625,45117.32813,46294.79688
Uzbekistan,9863.362305,10389.94434,10962.35938,11559.6416,12219.44727,12949.70117,13708.24805,14172.7207,14817.07227,15581.7334
Vanuatu,7184.523926,7102.653809,7031.213867,6951.476074,6904.055176,6631.879883,6725.37793,6838.773926,6962.812012,7036.337891
"Venezuela, RB",39698.03125,39881.64844,41569.17969,41729.9375,39238.26172,36464.40234,32896.04688,29705.74023,27550.14063,27174.22266
Vietnam,7666.456055,7992.578125,8275.807617,8533.47168,8913.75293,9454.297852,9991.117188,10550.15723,11141.60059,11756.87402
Virgin Islands (U.S.),96711.52344,99336.00781,100802.8438,102310.7734,104152.3906,106149.3438,107464.0469,109334.8125,111971.6953,114426.75
West Bank and Gaza,21861.70703,20935.9707,23403.89063,21728.94922,20691.67383,22151.70313,22529.45898,21417.52734,22144.28125,22003.64258
"Yemen, Rep.",22611.12109,19474.00586,19666.01563,20333.50586,19941.46094,12021.11719,7502.10791,6177.980957,5929.823242,5703.237793
Zambia,9274.678711,9223.255859,9419.001953,9546.591797,9633.774414,9536.824219,9545.363281,9572.496094,9651.539063,9746.458984
Zimbabwe,3217.489014,3640.1521,4091.01709,4213.133789,4191.621094,4152.225098,4060.827881,4075.272949,3992.99707,3891.74292
